,x,y
10x13,-382.2962711864411,-2905.5436610169495
10x14,-395.60627118644106,-2609.0636610169495
10x15,-381.1362711864408,-2324.2336610169496
10x16,-379.686271186441,-2026.00366101695
10x17,-366.666271186441,-1735.0536610169493
10x18,-377.666271186441,-1441.1936610169496
10x19,-368.6962711864412,-1130.1336610169492
10x20,-370.4262711864412,-850.5536610169493
10x21,-376.2162711864412,-573.3136610169495
10x22,-374.1962711864412,-259.04366101694995
10x23,-382.5862711864411,18.786338983050882
10x24,-379.686271186441,279.99633898305
10x25,-364.35627118644106,581.7263389830505
10x26,-356.82627118644086,882.8763389830501
10x27,-402.5462711864411,1168.2863389830509
10x28,-377.956271186441,1446.9863389830507
10x29,-395.3162711864411,1756.3063389830504
10x30,-368.6962711864412,2051.036338983051
11x14,-94.07627118644086,-2623.9236610169496
11x15,-82.49627118644094,-2318.4036610169496
11x16,-95.8162711864411,-2033.8736610169499
11x17,-97.83627118644108,-1747.8836610169492
11x18,-97.25627118644115,-1444.1036610169494
11x19,-106.80627118644088,-1144.7036610169498
11x20,-114.04627118644112,-861.3436610169492
11x21,-99.57627118644086,-578.8536610169494
11x22,-94.07627118644086,-270.1236610169499
11x23,-90.60627118644106,-1.0336610169497362
11x24,-84.52627118644114,281.1663389830501
11x25,-96.67627118644123,567.7363389830507
11x26,-95.8162711864411,869.1763389830503
11x27,-86.84627118644084,1167.1163389830508
11x28,-91.18627118644099,1450.4863389830507
11x29,-91.47627118644095,1737.3563389830506
11x30,-93.49627118644094,2028.5863389830502
12x14,246.8037288135588,-2574.6636610169494
12x15,245.07372881355877,-2294.79366101695
12x16,238.12372881355896,-2011.1336610169492
12x17,249.70372881355888,-1699.1936610169496
12x18,261.27372881355905,-1419.9136610169498
12x19,259.25372881355906,-1130.7136610169491
12x20,246.51372881355883,-840.6436610169494
12x21,257.8037288135588,-553.4836610169496
12x22,261.563728813559,-255.54366101694995
12x23,252.01372881355883,18.49633898305001
12x24,245.3637288135592,317.89633898305055
12x25,254.91372881355892,607.3863389830503
12x26,252.01372881355883,892.49633898305
12x27,248.54372881355903,1187.2363389830507
12x28,248.833728813559,1517.24633898305
12x29,254.333728813559,1778.16633898305
12x30,258.9637288135591,2090.9763389830496
13x15,528.6537288135592,-2300.91366101695
13x16,537.3437288135592,-2000.9336610169494
13x17,535.313728813559,-1712.6036610169494
13x18,531.2637288135588,-1419.6236610169499
13x19,526.6337288135592,-1126.0536610169493
13x20,534.1537288135592,-841.5136610169493
13x21,517.9537288135589,-561.3536610169494
13x22,538.7837288135588,-259.6236610169499
13x23,542.833728813559,12.666338983050082
13x24,550.6537288135592,307.1063389830506
13x25,529.523728813559,603.0063389830502
13x26,539.6537288135592,883.7563389830502
13x27,533.5737288135588,1185.1963389830507
13x28,536.1837288135589,1481.6763389830503
13x29,525.1837288135589,1762.1363389830503
14x17,811.9537288135589,-1713.1936610169496
14x18,796.623728813559,-1419.6236610169499
14x19,814.563728813559,-1137.1236610169499
14x20,802.4037288135592,-841.5136610169493
14x21,812.2437288135588,-549.4036610169496
14x22,811.9537288135589,-257.5836610169499
14x23,802.9837288135591,18.206338983050045
14x24,813.9837288135591,305.0663389830506
