,x,y
10x17,3210.43947154,3948.78970373
10x18,3095.66393114,4238.02816178
10x19,3065.97843583,4514.76446235
10x20,3038.33760341,4788.85353182
10x21,2975.03870861,5076.66287443
10x22,2942.51723262,5344.59673123
10x23,2893.28707343,5552.32027203
10x24,2840.28588473,5854.32556732
10x25,2786.40044632,6117.33577042
10x26,2790.13603315,6395.05196092
10x27,2780.67040742,6694.64851053
10x28,2761.68762282,6965.14005179
10x29,2763.07443472,7241.03849261
10x30,2702.42602629,7582.69921625
10x31,2720.00118849,7940.63638592
10x32,2628.43904913,8472.71461761
11x17,3441.08078624,3965.01507345
11x18,3416.35537628,4237.6106131
11x19,3335.07643963,4523.96492529
11x20,3260.2916142,4794.74449523
11x21,3221.18383489,5083.45252991
11x22,3213.312575,5363.24770584
11x23,3169.51929571,5581.32773179
11x25,3098.40822165,6133.05674314
11x26,3081.05292092,6410.9344872
11x27,3050.68780254,6685.06253149
11x28,3048.60059694,6954.99890649
11x29,3041.3074408,7245.48922986
11x30,3053.52616585,7652.22218246
11x31,2969.0152299,8025.43116639
11x32,2892.38045815,8482.45879985
12x18,3639.91228403,4288.50421445
12x19,3588.12218098,4588.89270079
12x20,3556.65096136,4858.93210408
12x22,3524.11759287,5415.8951965
12x23,3463.34878704,5630.91015169
12x24,3431.18392162,5875.53017195
12x25,3385.53161479,6186.81317461
12x26,3395.2895174,6458.12692431
12x27,3395.15932926,6735.68256472
12x28,3361.38639033,6994.40617878
12x29,3334.07521933,7285.04969455
12x30,3334.55602089,7760.98118433
12x31,3301.31050944,8208.49399825
13x19,3801.16725675,4602.42414036
13x22,3733.79959186,5389.25960356
13x23,3719.77026497,5635.22116333
13x24,3706.72606129,5895.989372
13x25,3698.36301927,6171.86895332
13x26,3703.34059935,6449.2383302
13x27,3664.83210957,6726.00960931
13x28,3626.97458225,6986.46312183
13x29,3627.3682655,7278.29465857
13x30,3654.55408592,7602.93933237
13x31,3569.27757638,8133.63928005
14x19,4023.99366697,4597.23645506
14x20,3984.34512591,4835.20938456
14x21,3984.8654197,5114.69736644
14x22,3996.1142397,5392.15847946
14x23,3987.84537955,5634.28948764
14x25,3969.97945189,6192.82437442
14x26,3955.61829768,6464.09225672
14x27,3962.74483139,6762.52007859
14x28,3917.2719974,7022.23072346
14x29,3941.67852216,7320.63784821
14x30,3940.11199039,7643.89254049
14x31,3835.21316895,8133.34865393
15x20,4246.77118942,4830.63671926
15x21,4238.16688511,5146.67262138
15x22,4294.03784196,5384.62119803
15x23,4270.80578444,5651.58226852
15x24,4280.63838303,5908.77664507
15x25,4238.63690035,6189.37893774
15x27,4219.31482858,6763.11743401
15x28,4224.89840608,7056.05435881
15x29,4213.69024686,7339.68455994
15x30,4217.82384282,7677.56310772
15x31,4117.65303272,8124.75610308
16x22,4545.86209502,5446.47297178
16x24,4563.74078735,5966.41125603
16x25,4557.58646268,6292.63109911
16x26,4509.74166264,6561.27223339
16x28,4475.60042048,7069.16180313
16x29,4484.05473716,7373.22599756
16x30,4410.16272977,7733.49063128
16x31,4360.51352036,8124.03129683
17x21,4897.67791934,5171.58864647
17x26,4810.31142539,6576.85540161
17x27,4764.72069191,6836.96378575
17x28,4753.47468464,7110.2919476
17x29,4751.14001892,7424.63194487
17x30,4639.86585138,7790.21817142
17x31,4628.05294131,8149.27066485
18x22,5133.30483789,5467.89681955
18x25,5133.20225958,6299.34989208
18x26,5109.51350287,6567.66216697
18x27,5107.59378938,6884.50591527
18x28,5049.83739154,7147.05978413
18x29,5048.49709383,7433.72784238
18x30,4938.59941854,7808.84120003
18x31,4927.70458797,8166.39258473
19x23,5432.32167785,5705.8202912
19x25,5402.61596195,6291.40706512
19x26,5400.12692455,6568.79002215
19x27,5375.62898857,6862.25429159
19x29,5345.13625347,7489.97760173
19x30,5224.48356134,7924.72558941
19x31,5210.48927196,8191.3393499
20x23,5631.48362348,5648.13218525
20x24,5696.96648955,5960.19050797
20x27,5681.42396185,6874.11263326
20x28,5700.99563918,7220.53829068
20x29,5609.04854607,7550.6597442
20x30,5516.89636898,7930.29530006
20x31,5511.71518995,8218.05545479
21x24,5875.93972648,5880.3566246
21x28,5923.53883307,7195.30767316
21x29,5868.25161574,7528.91980292
21x30,5771.23910239,7959.86312563
21x31,5751.19991342,8210.59139145
22x24,6114.00380946,5889.0232327
22x26,6205.331244,6570.42097392
22x28,6189.07600426,7185.29465497
22x29,6152.30877494,7514.77417383
22x30,6049.70167687,7908.1523454
22x31,6019.68035377,8217.98054562
23x29,6460.89129919,7545.5951065
23x30,6343.41090622,7970.32937838
24x30,6606.90036866,7930.76266603
24x31,6610.34322214,8241.1193304
25x31,6857.4999556,8203.79856664
2x18,894.962655525,4147.12995828
2x19,855.944943638,4412.02610788
2x20,801.546433775,4667.85215823
2x21,775.853229428,4931.26417654
2x22,712.130424363,5245.30838437
2x23,704.339727013,5522.17456737
2x24,675.612352796,5798.61135865
2x25,625.886698323,6089.04727881
2x26,586.669598014,6379.39702768
2x27,534.728953991,6635.17272133
2x28,499.258615273,6940.28347568
2x29,481.924551882,7236.50498028
2x30,406.189806594,7530.43407955
2x31,379.762859062,7891.62596586
2x32,352.605983199,8216.54297954
3x15,1228.12045493,3277.44481616
3x16,1246.21010788,3622.06842848
3x17,1219.51956481,3895.17377678
3x18,1160.63295046,4182.58943768
3x19,1125.71892982,4431.3551975
3x20,1087.29544718,4676.36169527
3x21,1032.88562588,4941.2714231
3x22,1012.01750175,5250.28281296
3x23,978.091748413,5524.61678451
3x24,960.368306224,5801.08967188
3x25,935.394154037,6092.85588471
3x26,879.074104457,6377.50342505
3x27,833.54932082,6655.78874338
3x28,788.228237581,6935.90610813
3x29,766.600870617,7211.62287281
3x30,734.064084137,7497.04255664
3x31,658.345392027,7920.82405265
3x32,678.261006242,8269.01644088
4x14,1538.47350314,3049.81479694
4x15,1535.8953748,3352.78901264
4x16,1562.93695902,3615.22156552
4x17,1539.4225873,3903.96849365
4x18,1459.62766072,4184.38357339
4x19,1384.96840618,4471.74133505
4x20,1381.91970447,4781.42112478
4x21,1331.58422263,5007.11948746
4x22,1286.8556693,5260.25899079
4x23,1269.8897566,5524.88268146
4x24,1209.50252216,5847.27962964
4x25,1171.1687714,6123.7971933
4x26,1139.96081602,6391.91885107
4x27,1128.56530343,6659.85689484
4x28,1088.92908364,6927.52337183
4x29,1060.03067308,7200.04912375
4x30,1036.70497582,7499.14417424
4x31,1026.57839413,7854.54369494
4x32,954.320054123,8280.27568673
5x14,1825.08699248,3049.57061374
5x15,1832.98860863,3398.11188082
5x16,1825.83943451,3635.40511907
5x17,1788.93782973,3924.69084004
5x18,1798.69057225,4251.84192065
5x19,1772.64998128,4510.53736961
5x20,1690.66227418,4803.59077878
5x21,1601.72421237,5094.31199086
5x22,1510.78502474,5295.28514947
5x23,1483.04926556,5591.20419593
5x24,1443.73505616,5853.7424828
5x25,1427.0400066,6132.34433341
5x26,1419.47216783,6396.55221868
5x27,1395.63453967,6676.36113015
5x28,1358.07038538,6927.82348856
5x29,1319.25676011,7217.88711061
5x30,1333.27249204,7552.38982829
5x31,1314.15735965,7858.74651868
5x32,1211.73652184,8286.26313895
6x15,2106.15920964,3393.6254281
6x16,2106.38192942,3669.04889134
6x17,2103.56424001,3919.95325701
6x18,2052.59576873,4266.28741445
6x19,2022.70626696,4541.53030765
6x20,1952.3579245,4809.4476846
6x21,1918.03044708,5105.00354666
6x22,1887.78044112,5354.29660864
6x23,1767.01563454,5605.51444824
6x24,1678.31795634,5841.1071395
6x25,1680.77423358,6134.21521059
6x26,1668.94444179,6416.62356693
6x27,1652.10945466,6686.64180641
6x28,1607.56727361,6971.11623207
6x29,1611.00905793,7293.07586135
6x30,1588.08273945,7561.06289733
6x31,1580.11856017,7838.95137178
6x32,1521.53871386,8278.66233866
7x15,2387.85154872,3406.94760759
7x16,2375.56944103,3679.80290365
7x17,2374.68507115,3946.97999806
7x18,2377.25580299,4231.53896327
7x19,2332.33522337,4497.51388369
7x20,2295.03716709,4828.98091306
7x21,2255.5666319,5085.48520415
7x22,2220.6689808,5391.22893638
7x23,2117.65139742,5622.04458133
7x24,2047.39120083,5862.17653646
7x25,2002.12817411,6146.52727957
7x26,1969.94806327,6409.94292546
7x27,1969.31019882,6688.54054981
7x28,1953.76245113,6958.73331685
7x29,1892.80127828,7308.29904171
7x30,1875.17642156,7561.53520988
7x31,1857.72272138,7821.82636791
7x32,1797.1808629,8185.58172743
8x17,2668.72295539,3938.41232932
8x18,2640.31493349,4213.51320044
8x19,2603.12039443,4456.44980821
8x20,2596.09086574,4755.13930425
8x21,2509.31008776,5089.24758933
8x22,2495.84847001,5358.39060165
8x23,2467.23899023,5627.59437476
8x24,2357.71108982,5865.14629136
8x25,2280.01405278,6158.15634507
8x26,2251.27473097,6416.59960903
8x27,2235.28417235,6695.37891184
8x28,2246.89219063,6964.38677533
8x29,2208.13823838,7262.85362747
8x30,2190.55106124,7524.18552932
8x31,2134.63901583,7837.52387342
8x32,2046.93488386,8198.65708092
9x16,2961.30528627,3664.33901787
9x17,2942.849499,3941.94328321
9x18,2875.05223742,4222.23938294
9x19,2828.43867427,4517.79207017
9x20,2817.91510319,4790.30464542
9x21,2752.63715245,5084.35040237
9x22,2715.20908919,5362.00702896
9x23,2626.02797968,5624.14067191
9x24,2570.23065455,5886.23029553
9x25,2576.81599534,6154.77764488
9x26,2545.23927131,6415.47015287
9x27,2531.07165827,6696.73279218
9x28,2563.88607271,6928.69060694
9x29,2512.60127121,7268.9565324
9x30,2465.19667198,7564.64286193
9x32,2355.35626169,8471.50780406
